tour_id,tour_name,description,duration,price,image,location,average_rating
1,Central Vietnam Tour Package,Da Nang(3N) → Hoi An(2N),5 Nights / 6 Days,8175000,https://www.holidify.com/images/bgImages/SON-LA.jpg,Vietnam,3.9
2,4 Days Vietnam Journey Through Southern Ho Chi Minh – Cu Chi – Mekong Delta,Ho Chi Minh City(3N),3 Nights / 4 Days,11950000,https://www.holidify.com/images/bgImages/HO-CHI-MINH-CITY.jpg,Vietnam,3.5
3,7 Days Cultural and Scenic Journey Hanoi – Halong – Hue - Danang – Hoi An –Ba Na Hills,Hanoi(2N) →  Halong Bay(1N) →  Hue(1N) →  Danang(2N),6 Nights / 7 Days,10500000,https://media.holidify.com/images/cmsuploads/compressed/cacdiadiemdulichnoitiengodanangthuhutkhachdulichquanhnam1647251151_20241012090321.png,Vietnam,4.4
4,Vietnam Odyssey: Discover the Wonders of North and South,Hanoi(2N) → Halong Bay(1N) → Ho Chi Minh City(2N),5 Nights / 6 Days,10300000,https://media.holidify.com/images/cmsuploads/compressed/BnsaocaCuVngNng1_20241009172848.png,Vietnam,4.6
5,Vietnam Adventure Quest Package for 7 Days,Ho Chi Minh City(2N) → Da Nang(2N) → Hanoi(2N),6 Nights / 7 Days,12275000,https://www.holidify.com/images/cmsuploads/compressed/Asia_Cruise_Junk_in_Halong_bay_20190627125229.JPG,Vietnam,2.5
6,3 Days Cultural and Scenic Journey to Danang – Hoi An – Ba Na Hills,Hoi An(2N),2 Nights / 3 Days,6425000,https://www.holidify.com/images/cmsuploads/compressed/34578567324e19e410886k_20230210133920.jpg,Vietnam,3.1
7,6 Days Vietnam Journey Across Northern Wonders Package,Hanoi(4N) →  Sapa(1N),5 Nights / 6 Days,18275000,https://www.holidify.com/images/cmsuploads/compressed/30095210902_e3883f2a8a_b_20190129134017.jpg,Vietnam,4
8,Premium Epic Vietnam Tour,Hanoi(2N) → Halong Bay(1N) → Da Nang(2N)Ba Na Hills(1N) → Ho Chi Minh City(2N) → Phu Quoc Island(2N),10 Nights / 11 Days,26900000,https://media.holidify.com/images/cmsuploads/compressed/BnsaocaVinWondersPhQuc3_20241007152752.png,Vietnam,2.3
9,Vietnam & Cambodia: A Journey of Timeless Heritage and Unforgettable Adventures,Ho Chi Minh City(2N) → Da Nang(2N) → Hanoi(2N) → Halong Bay(1N) → Siem Reap(2N),9 Nights / 10 Days,25400000,https://media.holidify.com/images/cmsuploads/compressed/BnsaocaCuVngNng1_20241009102815.png,Vietnam,2.4
10,Vietnam Discovery: Unveil the Magic of 3 cities - Hanoi  Da Nang & Ho Chi Minh City,Hanoi(2N) → Da Nang(2N) → Ho Chi Minh City(2N),6 Nights / 7 Days,11025000,https://media.holidify.com/images/cmsuploads/compressed/BNHillNng2_20241007110855.png,Vietnam,3.4
11,10 Days Vietnam Journey Across Northern Wonders,Hanoi(4N) → Ninh Binh(2N) → Halong Bay(1N) →  Sapa(3N),9 Nights / 10 Days,30775000,https://media.holidify.com/images/cmsuploads/compressed/42_20241012071525.jpg,Vietnam,3.8
12,5 Days Cultural and Scenic Journey To Danang – Hoi An – Hue – Ba Na Hills,Danang(3N) →  Hue(1N),4 Nights / 5 Days,11875000,https://www.holidify.com/images/bgImages/HOI-AN.jpg,Vietnam,3.5
13,Vietnam Tour Package 4 Nights 5 Days,Hanoi(1N) →  Halong Bay(1N) →  Danang(2N),4 Nights / 5 Days,10600000,https://www.holidify.com/images/cmsuploads/compressed/shutterstock1045315189_20230531151827.jpg,Vietnam,3.1
14,Classic Vietnam Tour Package: Hanoi & Ho Chi Minh,Hanoi (3N) →  Ho Chi Min City (2N),5 Nights / 6 Days,16525000,https://www.holidify.com/images/cmsuploads/compressed/HanoiSkylineView_20190723161525.jpg,Vietnam,2.7
15,"Essential Vietnam Tour Package: Hanoi, Danang & More",Hanoi(2N) →  Danang(2N) →  Ho Chi Minh City(2N),6 Nights / 7 Days,13775000,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1035848284_20190909171709.png,Vietnam,2.9
16,Mesmerising Vietnam Honeymoon Tour including Halong Bay Cruise,Ho Chi Minh City(2N) →  Hanoi(1N) →  Halong Bay(1N),4 Nights / 5 Days,10450000,https://www.holidify.com/images/cmsuploads/compressed/love-gd0aac142b1920_20211019154759.jpg,Vietnam,4.7
17,Vietnam Highlights Tour Package: Must-See Sights & Experiences,Ho Chi Minh(2N) →  Hoi An(2N) →  Hanoi(1N) →  Halong Bay(2N),7 Nights / 8 Days,11300000,https://www.holidify.com/images/cmsuploads/compressed/hoi-an-6520902_960_720_20211018151208.jpg,Vietnam,2.4
18,Best of Vietnam Holiday Package Including Halong Bay Cruise,Hanoi(1N) →  Halong Bay(1N) →  Ho Chi Minh City(3N),5 Nights / 6 Days,16250000,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_243530122(1)_20191118115126.png,Vietnam,3
